,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
2866,2866,26130373,Rental unit in Amsterdam · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,4709660,Oud-Oost,52.35591,4.90813,Entire home/apt,175,2,3,2018-08-27,0.05,1,0,0
2868,2868,26143006,Townhouse in Amsterdam · ★4.83 · 1 bedroom · 1 bed · 1 private bath,744499,Centrum-West,52.38259,4.88534,Private room,150,2,12,2020-08-03,0.19,2,0,0
2870,2870,26147088,Rental unit in Amsterdam · ★4.33 · 2 bedrooms · 2 beds · 1 bath,27776233,Bijlmer-Centrum,52.32061,4.94373,Entire home/apt,99,7,3,2019-08-05,0.05,1,0,0
2853,2853,26000168,Home in Amsterdam · ★4.80 · 5 bedrooms · 6 beds · 2 baths,6840474,Zuid,52.35555,4.85095,Entire home/apt,450,4,6,2019-08-16,0.09,1,10,0
2950,2950,27078008,Loft in Amsterdam · 1 bedroom · 1 bed · 1.5 baths,5740267,IJburg - Zeeburgereiland,52.37116,4.9697,Entire home/apt,200,5,2,2019-10-20,0.04,1,40,0
2953,2953,27123460,Rental unit in Amsterdam · ★4.88 · 2 bedrooms · 3 beds · 1.5 baths,204169513,Westerpark,52.38399,4.88019,Entire home/apt,199,2,9,2020-01-03,0.14,1,0,0
2955,2955,27132135,Home in Amsterdam · ★5.0 · 3 bedrooms · 2 beds · 1 bath,578608,Oud-Noord,52.3928,4.92662,Entire home/apt,150,2,10,2019-08-10,0.16,1,0,0
3049,3049,28220320,Rental unit in Amsterdam · ★4.60 · 2 bedrooms · 2 beds · 1 bath,13228073,Oud-Oost,52.36321,4.93062,Entire home/apt,300,2,5,2022-02-04,0.08,1,0,0
3052,3052,28239821,Rental unit in Amsterdam · ★4.56 · 2 bedrooms · 2 beds · 1.5 baths,13229223,De Baarsjes - Oud-West,52.36564,4.87402,Entire home/apt,350,2,32,2022-06-01,0.53,1,0,0
3053,3053,28252823,Rental unit in Amsterdam · ★4.93 · 2 bedrooms · 2 beds · 1.5 baths,33967782,De Pijp - Rivierenbuurt,52.35767,4.89973,Entire home/apt,420,3,15,2021-10-03,0.25,1,1,0
3057,3057,28295817,Rental unit in Amsterdam · 1 bedroom · 1 bed · 1.5 shared baths,20779008,Westerpark,52.38063,4.87121,Private room,100,1,0,,,2,0,0
3059,3059,28329497,Rental unit in Amsterdam · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,213918938,Centrum-West,52.37035,4.87536,Entire home/apt,350,6,14,2022-08-01,0.24,1,0,0
3060,3060,28352406,Rental unit in Amsterdam · ★4.80 · 1 bedroom · 2 beds · 1 private bath,97879027,Oostelijk Havengebied - Indische Buurt,52.37924,4.92962,Private room,150,1,16,2019-11-09,0.26,1,0,0
